"Sweden"
"Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)","n.a."
"Violence against women ever experienced, intimate partner (% of female population ages 15 and older)","28.0"
"Violence against women ever experienced, nonintimate partner (% of female population ages 15 and older)","12.0"
"Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older)","100.0"
"Youth unemployment rate (female to male ratio)","0.84"
"Population in multidimensional poverty, headcount (%)","n.a."
" Contribution of deprivation in education to the Multidimensional Poverty Index ","n.a."
" Contribution of deprivation in health to the Multidimensional Poverty Index ","n.a."
" Contribution of deprivation in standard of living to the Multidimensional Poverty Index ","n.a."
"Multidimensional Poverty Index (MPI)","n.a."
"Population in multidimensional poverty, headcount (thousands) (for the year of survey)","n.a."
"Population in multidimensional poverty, headcount (thousands) (projection for 2017)","n.a."
"Population in multidimensional poverty, intensity of deprivation (%)","n.a."
"Population in severe multidimensional poverty (%)","n.a."
"Population living below income poverty line, PPP $1.90 a day (%)","0.5"
" Population living below income poverty line, national poverty line (%) ","n.a."
"Population vulnerable to multidimensional poverty (%)","n.a."
"Working poor at PPP$3.10 a day (% of total employment)","n.a."
"Employment to population ratio (% ages 15 and older)","60.2"
"Child labour (% ages 5-17)","n.a."
"Employment in agriculture (% of total employment)","1.8"
"Employment in services (% of total employment)","80.2"
"Labour force participation rate (% ages 15 and older)","64.3"
"Labour force participation rate (% ages 15 and older), female","61.1"
"Labour force participation rate (% ages 15 and older), male","67.6"
"Old-age pension recipients (% of statutory pension age population)","100.0"
"Unemployment, total (% of labour force)","6.4"
" Proportion of informal employment in nonagricultural employment (% of total employment in non-agriculture) ","n.a."
"Unemployment, youth (% ages 15–24)","17.0"
"Vulnerable employment (% of total employment)","6.2"
"Youth not in school or employment (% ages 15-24)","6.1"
"Homicide rate (per 100,000 people)","1.1"
"Birth registration (% under age 5)","100"
"Homeless people due to natural disaster (average annual per million people)","0"
"Prison population (per 100,000 people)","58"
"Refugees by country of origin (thousands)","0.0"
"Suicide rate, female (per 100,000 people)","7.4"
"Suicide rate, male (per 100,000 people)","15.8"
"Exports and imports (% of GDP)","90.9"
"Foreign direct investment, net inflows (% of GDP)","1.1"
"Net official development assistance received (% of GNI)","n.a."
"Private capital flows (% of GDP)","-0.3"
"Remittances, inflows (% of GDP)","0.57"
"Internet users, total (% of population)","92.1"
"International inbound tourists (thousands)","7,054"
"International student mobility (% of total tertiary enrolment)","2.5"
"Internet users, female (% of female population)","93.7"
"Mobile phone subscriptions (per 100 people)","125.1"
"Net migration rate (per 1,000 people)","4.0"
" Carbon dioxide emissions, per capita (tonnes) ","3.9"
" Carbon dioxide emissions (kg per 2010 US$ of GDP) ","0.08"
"Forest area (% of total land area)","68.9"
" Degraded land (% of total land area) ","n.a."
"Forest area, change (%)","0.8"
"Fossil fuel energy consumption (% of total energy consumption)","25.1"
"Fresh water withdrawals (% of total renewable water resources)","1.6"
"Mortality rate attributed to household and ambient air pollution (per 100,000 population)","7.0"
"Mortality rate attributed to unsafe water, sanitation and hygiene services (per 100,000 population)
","0.2"
" Natural resource depletion (% of GNI) ","0.2"
"Red List Index (value)","0.993"
"Renewable energy consumption (% of total final energy consumption)","53.2"
"Total population (millions)","10.0"
"Median age (years)","41.1"
"Old-age (65 and older) dependency ratio (per 100 people ages 15-64)","32.2"
"Population ages 15–64 (millions)","6.2"
"Population ages 65 and older (millions)","2.0"
"Population under age 5 (millions)","0.6"
"Sex ratio at birth (male to female births)","1.06"
"Urban population (%)","87.4"
"Young age (0-14) dependency ratio (per 100 people ages 15-64)","28.2"
"Skilled labour force (% of labour force)","86.8"
"Adjusted net savings (% of GNI)","19.1"
" Average annual change in the share of bottom 40% (%) ","-0.4"
"Concentration index (exports) (value)","0.090"
"Gross capital formation (% of GDP)","26.5"
"Overall loss in HDI value due to inequality, average annual change (%)","-0.4"
"Population using improved drinking-water sources (%)","100.0"
"Population using improved sanitation facilities (%)","99.0"
"Ratio of education and health expenditure to military expenditure","17.2"
"Research and development expenditure (% of GDP)","3.3"
"Rural population with access to electricity (%)","100.0"
"Total debt service (% of exports of goods, services and primary income)","n.a."
